프로골퍼	프로/NNG + 골퍼/NNG
38분	38/SN + 분/NNB
동안	동안/NNG
야투를	야투/NNG + 를/JKO
8개밖에	8/SN + 개/NNB + 밖에/JX
못	못/MAG
던지게	던지/VV + 게/EC
만들	만들/VV + ㄹ/ETM
정도로	정도/NNG + 로/JKB
잘	잘/MAG
막았다.	막/VV + 았/EP + 다/EF + ./SF

스퍼스(59승21패)가	스퍼스/NNP + (/SS + 59/SN + 승/NNG + 21/SN + 패/NNG + )/SS + 가/JKS
98~99시즌	98/SN + ~/SO + 99/SN + 시즌/NNG
이후	이후/NNG
다시	다시/MAG
정규리그	정규/NNG + 리그/NNG
승률	승/NNG + 률/XSN
1위를	1/SN + 위/NNB + 를/JKO
차지하기	차지/NNG + 하/XSV + 기/ETN
위한	위하/VV + ㄴ/ETM
최대	최대/NNG
걸림돌은	걸림돌/NNG + 은/JX
댈러스	댈러스/NNP
매버릭스(58승22패).	매버릭스/NNP + (/SS + 58/SN + 승/NNG + 22/SN + 패/NNG + )/SS + ./SF

양팀은	양/MM + 팀/NNG + 은/JX
정규리그	정규/NNG + 리그/NNG
마지막날인	마지막/NNG + 날/NNG + 이/VCP + ㄴ/ETM
17일	17/SN + 일/NNB
맞대결한다.	맞대결/NNG + 하/XSV + ㄴ다/EF + ./SF

포틀랜드	포틀랜드/NNP
트레일블레이저스는	트레일블레이저스/NNP + 는/JX
LA	LA/SL
레이커스를	레이커스/NNP + 를/JKO
101대99로	101/SN + 대/NNB + 99/SN + 로/JKB
따돌리고	따돌리/VV + 고/EC
서부	서부/NNG
5위(49승31패)로	5/SN + 위/NNB + (/SS + 49/SN + 승/NNG + 31/SN + 패/NNG + )/SS + 로/JKB
올라섰다.	올라서/VV + 었/EP + 다/EF + ./SF

종료	종료/NNG
4.1초	4/SN + ./SP + 1/SN + 초/NNB
전간판	전/MM + 간판/NNG
스타	스타/NNG
라시드	라시드/NNP
월러스(21점)가	월러스/NNP + (/SS + 21/SN + 점/NNB + )/SS + 가/JKS
결승	결승/NNG
3점포를	3/SN + 점/NNB + 포/NNG + 를/JKO
꽂아	꽂/VV + 아/EC
승패를	승패/NNG + 를/JKO
갈랐다.	가르/VV + 았/EP + 다/EF + ./SF

레이커스(48승32패)는	레이커스/NNP + (/SS + 48/SN + 승/NNG + 32/SN + 패/NNG + )/SS + 는/JX
샤킬	샤킬/NNP
오닐(36점	오닐/NNP + (/SS + 36/SN + 점/NNB
11리바운드)과	11/SN + 리바운드/NNG + )/SS + 과/JC
코비	코비/NNP
브라이언트(36점)로	브라이언트/NNP + (/SS + 36/SN + 점/NNB + )/SS + 로/JKB
맞섰으나	맞서/VV + 었/EP + 으나/EC
동료들의	동료/NNG + 들/XSN + 의/JKG
지원이	지원/NNG + 이/JKS
못	못/MAG
미쳐	미치/VV + 어/EC
연승을	연승/NNG + 을/JKO
6에서	6/SN + 에서/JKB
멈춰야	멈추/VV + 어야/EC
했다.	하/VX + 았/EP + 다/EF + ./SF

미네소타	미네소타/NNP
팀버울브스는	팀버울브스/NNP + 는/JX
시카고	시카고/NNP
불스를	불스/NNP + 를/JKO
119대95로	119/SN + 대/NNB + 95/SN + 로/JKB
대파하고	대파/NNG + 하/XSV + 고/EC
서부	서부/NNG
4위를	4/SN + 위/NNB + 를/JKO
확정했다.	확정/NNG + 하/XSV + 았/EP + 다/EF + ./SF

지난주	지난주/NNG
말	말/NNG
8강	8/SN + 강/NNG
구도가	구도/NNG + 가/JKS
먼저	먼저/MAG
그려진	그리/VV + 어/EC + 지/VX + ㄴ/ETM
동부에선	동부/NNG + 에서/JKB + ㄴ/JX
디트로이트	디트로이트/NNP
피스턴스가	피스턴스/NNP + 가/JKS
2차	2/SN + 차/NNB
연장까지	연장/NNG + 까지/JX
가는	가/VV + 는/ETM
접전	접전/NNG
끝에	끝/NNG + 에/JKB
멤피스	멤피스/NNP
그리즐리스를	그리즐리스/NNP + 를/JKO
110대107로	110/SN + 대/NNB + 107/SN + 로/JKB
누르고	누르/VV + 고/EC
중부지구	중부/NNG + 지구/NNG
1위를	1/SN + 위/NNB + 를/JKO
확정지었다.	확정/NNG + 짓/VV + 었/EP + 다/EF + ./SF

■TG	■/SW + TG/SL
허재	허재/NNP

"내년에도	"/SS + 내년/NNG + 에/JKB + 도/JX
구단에서	구단/NNG + 에서/JKB
뛰라면	뛰/VV + 라면/EC
뛰겠다."	뛰/VV + 겠/EP + 다/EF + ./SF + "/SS

TG	TG/SL
허재(38)는	허재/NNP + (/SS + 38/SN + )/SS + 는/JX
13일	13/SN + 일/NNB
우승	우승/NNG
뒤풀이에서	뒤풀이/NNG + 에서/JKB
모처럼	모처럼/MAG
술에	술/NNG + 에/JKB
취했다.	취하/VV + 았/EP + 다/EF + ./SF

'술고래'로	'/SS + 술고래/NNG + '/SS + 로/JKB
소문난	소문나/VV + ㄴ/ETM
그지만	그/NP + 이/VCP + 지만/EC
오랜만에	오랜만/NNG + 에/JKB
마셨더니	마시/VV + 었/EP + 더니/EC
금방	금방/MAG
취해	취하/VV + 아/EC
일찍	일찍/MAG
잤다고	자/VV + 았/EP + 다고/EC
했다.	하/VV + 았/EP + 다/EF + ./SF

-기아	-/SS + 기아/NNP
시절	시절/NNG
원년	원년/NNG
우승	우승/NNG
때와	때/NNG + 와/JKB
비교한다면?	비교/NNG + 하/XSV + ㄴ다면/EF + ?/SF

"97년에는	"/SS + 97/SN + 년/NNB + 에/JKB + 는/JX
내가	내/NP + 가/JKS
거의	거의/MAG
뛰지	뛰/VV + 지/EC
못해	못하/VX + 아/EC
착잡한	착잡/XR + 하/XSA + ㄴ/ETM
마음이	마음/NNG + 이/JKS
앞섰다.	앞서/VV + 었/EP + 다/EF + ./SF

올해는	올해/NNG + 는/JX
마지막	마지막/NNG
6차전에서	6/SN + 차/NNB + 전/NNG + 에서/JKB
못	못/MAG
뛰었지만	뛰/VV + 었/EP + 지만/EC
많은	많/VA + 은/ETM
노력을	노력/NNG + 을/JKO
기울였다.	기울이/VV + 었/EP + 다/EF + ./SF

개인적으론	개인/NNG + 적/XSN + 으로/JKB + ㄴ/JX
아쉬움이	아쉬움/NNG + 이/JKS
있지만	있/VV + 지만/EC
후배들이	후배/NNG + 들/XSN + 이/JKS
너무	너무/MAG
잘해줬기	잘/MAG + 하/XSV + 아/EC + 주/VX + 었/EP + 기/ETN
때문에	때문/NNB + 에/JKB
정말	정말/MAG
기분이	기분/NNG + 이/JKS
좋다."	좋/VA + 다/EF + ./SF + "/SS

-5차전	-/SS + 5/SN + 차/NNB + 전/NNG
부상을	부상/NNG + 을/JKO
했을	하/VV + 았/EP + 을/ETM
때	때/NNG
기분은	기분/NNG + 은/JX
어땠나?	어떻/VA + 었/EP + 나/EF + ?/SF

"정말	"/SS + 정말/MAG
죽을	죽/VV + 을/ETM
맛이었다.	맛/NNG + 이/VCP + 었/EP + 다/EF + ./SF

숨도	숨/NNG + 도/JX
못	못/MAG
쉴	쉬/VV + ㄹ/ETM
만큼	만큼/NNB
너무	너무/MAG
아팠다.	아프/VA + 았/EP + 다/EF + ./SF

사실	사실/MAG
남은	남/VV + 은/ETM
경기에	경기/NNG + 에/JKB
뛸	뛰/VV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
몸이	몸/NNG + 이/JKC
아니었다.	아니/VCN + 었/EP + 다/EF + ./SF

마취제를	마취제/NNG + 를/JKO
맞고서라도	맞/VV + 고서/EC + 라도/JX
뛰겠다는	뛰/VV + 겠/EP + 다는/ETM
각오를	각오/NNG + 를/JKO
밝힌	밝히/VV + ㄴ/ETM
것은	것/NNB + 은/JX
선수들과	선수/NNG + 들/XSN + 과/JKB
함께하고	함께/MAG + 하/XSV + 고/EC
싶어서다."	싶/VX + 어서다/EF + ./SF + "/SS

-해가	-/SS + 하/XSV + 아/EC + 가/JKS
갈수록	갈수록/MAG
많이	많이/MAG
달라졌다는	달라지/VV + 었/EP + 다는/ETM
평가를	평가/NNG + 를/JKO
듣는데.	듣/VV + 는데/EF + ./SF

"나이	"/SS + 나이/NNG
때문인	때문/NNB + 이/VCP + ㄴ/ETM
것	것/NNB
같다.	같/VA + 다/EF + ./SF

심판	심판/NNG
판정	판정/NNG
등에	등/NNB + 에/JKB
속상한	속상하/VA + ㄴ/ETM
점이	점/NNG + 이/JKS
있어도	있/VV + 어도/EC
꾹	꾹/MAG
참으려고	참/VV + 으려고/EC
애를	애/NNG + 를/JKO
쓴다.	쓰/VV + ㄴ다/EF + ./SF

앞으로도	앞/NNG + 으로/JKB + 도/JX
지도자로서	지도자/NNG + 로서/JKB
농구인생을	농구/NNG + 인생/NNG + 을/JKO
계속하려면	계속/NNG + 하/XSV + 려면/EC
미움	미움/NNG
살	사/VV + ㄹ/ETM
일을	일/NNG + 을/JKO
하지	하/VV + 지/EC
말아야	말/VX + 아야/EC
하는	하/VX + 는/ETM
것	것/NNB
아닌가(웃음)."	아니/VCN + ㄴ가/EC + (/SS + 웃음/NNG + )/SS + ./SF + "/SS

-개인적으로	-/SS + 개인/NNG + 적/XSN + 으로/JKB
고마움을	고마움/NNG + 을/JKO
느끼는	느끼/VV + 는/ETM
사람이	사람/NNG + 이/JKS
있다면?	있/VV + 다면/EF + ?/SF

"나래	"/SS + 나래/NNP
원년멤버로	원년/NNG + 멤버/NNG + 로/JKB
상명초등,	상명초등/NNP + ,/SP
용산중·고	용산중/NNP + ·/SP + 고/NNG
4년선배인	4/SN + 년/NNB + 선배/NNG + 이/VCP + ㄴ/ETM
최형길	최형길/NNP
부단장이다.	부단장/NNG + 이/VCP + 다/EF + ./SF

나를	나/NP + 를/JKO
영입하기	영입/NNG + 하/XSV + 기/ETN
위해	위하/VV + 아/EC
99년에	99/SN + 년/NNB + 에/JKB
정인교와	정인교/NNP + 와/JC
윌리포드를	윌리포드/NNP + 를/JKO
내줬을	내주/VV + 었/EP + 을/ETM
때	때/NNG
안팎으로	안팎/NNG + 으로/JKB
힘들었을	힘들/VA + 었/EP + 을/ETM
텐데도	터/NNB + 이/VCP + ㄴ데/EC + 도/JX
지금까지	지금/NNG + 까지/JX
나를	나/NP + 를/JKO
믿고	믿/VV + 고/EC
보살펴줬다.	보살/NNG + 펴/VV + 아/EC + 주/VX + 었/EP + 다/EF + ./SF

전창진	전창진/NNP
감독과	감독/NNG + 과/JKB
함께	함께/MAG
내겐	나/NP + 에게/JKB + ㄴ/JX
친형이나	친/XPN + 형/NNG + 이나/JX
다름없다."	다름없/VA + 다/EF + ./SF + "/SS

-내년에도	-/SS + 내년/NNG + 에/JKB + 도/JX
선수생활을	선수/NNG + 생활/NNG + 을/JKO
계속할	계속/NNG + 하/XSV + ㄹ/ETM
것인가?	것/NNB + 이/VCP + ㄴ가/EF + ?/SF

"TG는	"/SS + TG/SL + 는/JX
마치	마치/MAG
'집안'	'/SS + 집안/NNG + '/SS
같은	같/VA + 은/ETM
구단이다.	구단/NNG + 이/VCP + 다/EF + ./SF

나	나/NP
혼자	혼자/NNG
결정할	결정/NNG + 하/XSV + ㄹ/ETM
부분이	부분/NNG + 이/JKC
아니다.	아니/VCN + 다/EF + ./SF

구단에서	구단/NNG + 에서/JKB
요청한다면	요청/NNG + 하/XSV + ㄴ다면/EC
뛰겠다.	뛰/VV + 겠/EP + 다/EF + ./SF

만약	만약/NNG
코트에	코트/NNG + 에/JKB
선다면	서/VV + ㄴ다면/EC
내년엔	내년/NNG + 에/JKB + ㄴ/JX
멤버도	멤버/NNG + 도/JX
보강되는	보강/NNG + 되/XSV + 는/ETM
만큼	만큼/NNB
진짜	진짜/NNG
식스맨으로,	식스/NNG + 맨/NNG + 으로/JKB + ,/SP
나를	나/NP + 를/JKO
필요로	필요/NNG + 로/JKB
할	하/VV + ㄹ/ETM
때만	때/NNG + 만/JX
뛰겠다."	뛰/VV + 겠/EP + 다/EF + ./SF + "/SS

■TG	■/SW + TG/SL
전창진감독	전창진/NNP + 감독/NNG

"내년에도	"/SS + 내년/NNG + 에/JKB + 도/JX
우승을	우승/NNG + 을/JKO
하기	하/VV + 기/ETN
위해	위하/VV + 아/EC
최선을	최선/NNG + 을/JKO
다하겠다."	다/MAG + 하/VV + 겠/EP + 다/EF + ./SF + "/SS

허재의	허재/NNP + 의/JKG
상명초등학교,	상명초등학교/NNP + ,/SP
용산중·고	용산중/NNP + ·/SP + 고/NNG
2년	2/SN + 년/NNB
선배인	선배/NNG + 이/VCP + ㄴ/ETM
전창진(40)	전창진/NNP + (/SS + 40/SN + )/SS
TG감독은	TG/SL + 감독/NNG + 은/JX
올해가	올해/NNG + 가/JKS
정식감독으론	정식/NNG + 감독/NNG + 으로/JKB + ㄴ/JX
첫	첫/MM
해.	해/NNG + ./SF

부상으로	부상/NNG + 으로/JKB
일찍	일찍/MAG
선수생활을	선수/NNG + 생활/NNG + 을/JKO
마감했지만,	마감/NNG + 하/XSV + 았/EP + 지만/EC + ,/SP
삼성농구단에서	삼성/NNP + 농구단/NNG + 에서/JKB
주무로	주무/NNG + 로/JKB
시작한	시작/NNG + 하/XSV + ㄴ/ETM
제2의	제/XPN + 2/SN + 의/JKG
농구인생을	농구/NNG + 인생/NNG + 을/JKO
우승으로	우승/NNG + 으로/JKB
화려하게	화려/XR + 하/XSA + 게/EC
꽃피웠다.	꽃피우/VV + 었/EP + 다/EF + ./SF

-정식감독	-/SS + 정식/NNG + 감독/NNG
첫	첫/MM
해라	해/NNG + 이/VCP + 라/EC
부담이	부담/NNG + 이/JKS
많았을	많/VA + 았/EP + 을/ETM
텐데?	터/NNB + 이/VCP + ㄴ데/EF + ?/SF

"지난해	"/SS + 지난해/NNG
팀을	팀/NNG + 을/JKO
맡으라고	맡/VV + 으라고/EC
했을	하/VV + 았/EP + 을/ETM
때	때/NNG
내	나/NP + 의/JKG
능력이	능력/NNG + 이/JKS
못미친다고	못/MAG + 미치/VV + ㄴ다고/EC
생각해서	생각/NNG + 하/XSV + 아서/EC
강력하게	강력/XR + 하/XSA + 게/EC
거부했다.	거부/NNG + 하/XSV + 았/EP + 다/EF + ./SF

하지만	하지만/MAJ
구단의	구단/NNG + 의/JKG
끈질긴	끈질기/VA + ㄴ/ETM
요청으로	요청/NNG + 으로/JKB
고민	고민/NNG
끝에	끝/NNG + 에/JKB
받아들였다.	받아들이/VV + 었/EP + 다/EF + ./SF

전술적인	전술/NNG + 적/XSN + 이/VCP + ㄴ/ETM
부분이나	부분/NNG + 이나/JC
경기를	경기/NNG + 를/JKO
읽는	읽/VV + 는/ETM
눈이	눈/NNG + 이/JKS
아직	아직/MAG
부족하다고	부족/NNG + 하/XSA + 다고/EC
생각한다."	생각/NNG + 하/XSV + ㄴ다/EF + ./SF + "/SS

-5차전에	-/SS + 5/SN + 차/NNB + 전/NNG + 에/JKB
허재가	허재/NNP + 가/JKS
부상을	부상/NNG + 을/JKO
했을	하/VV + 았/EP + 을/ETM
때	때/NNG
느낌은?	느낌/NNG + 은/JX + ?/SF

"남몰래	"/SS + 남몰래/MAG
눈물도	눈물/NNG + 도/JX
흘렸다.	흘리/VV + 었/EP + 다/EF + ./SF

허재가	허재/NNP + 가/JKS
선수로나	선수/NNG + 로/JKB + 나/JX
코치로나	코치/NNG + 로/JKB + 나/JX
올	올/MM
시즌	시즌/NNG
큰	크/VA + ㄴ/ETM
역할을	역할/NNG + 을/JKO
해왔는데	하/VV + 아/EC + 오/VX + 았/EP + 는데/EC
부상을	부상/NNG + 을/JKO
해	하/VV + 아/EC
고민이	고민/NNG + 이/JKS
많았다.	많/VA + 았/EP + 다/EF + ./SF

선수들에게	선수/NNG + 들/XSN + 에게/JKB
초반	초반/NNG
1쿼터와	1/SN + 쿼터/NNG + 와/JC
마지막	마지막/NNG
4쿼터를	4/SN + 쿼터/NNG + 를/JKO
잘	잘/MAG
풀어가자고	풀/VV + 어/EC + 가/VX + 자고/EC
얘기했는데	얘기/NNG + 하/XSV + 았/EP + 는데/EC
선수들이	선수/NNG + 들/XSN + 이/JKS
너무	너무/MAG
잘해줬다."	잘/MAG + 하/XSV + 아/EC + 주/VX + 었/EP + 다/EF + ./SF + "/SS

-시즌	-/SS + 시즌/NNG
중	중/NNB
가장	가장/MAG
어려웠을	어렵/VA + 었/EP + 을/ETM
때는?	때/NNG + 는/JX + ?/SF

"데릭	"/SS + 데릭/NNP
존슨이	존슨/NNP + 이/JKS
다쳤을	다치/VV + 었/EP + 을/ETM
때다.	때/NNG + 이/VCP + 다/EF + ./SF

공든	공들/VV + ㄴ/ETM
탑이	탑/NNG + 이/JKS
다	다/MAG
무너지는	무너지/VV + 는/ETM
듯했다.	듯/NNB + 하/XSA + 았/EP + 다/EF + ./SF

동양	동양/NNG
아이크와	아이크/NNP + 와/JC
데릭스를	데릭스/NNP + 를/JKO
놓고	놓/VV + 고/EC
저울질하다	저울/NNG + 질/XSN + 하/XSV + 다/EC
센스가	센스/NNG + 가/JKS
있는	있/VV + 는/ETM
데릭스를	데릭스/NNP + 를/JKO
뽑았는데	뽑/VV + 았/EP + 는데/EC
결과가	결과/NNG + 가/JKS
좋았다."	좋/VA + 았/EP + 다/EF + ./SF + "/SS

-가족들과	-/SS + 가족/NNG + 들/XSN + 과/JKB
같이	같이/MAG
있을	있/VV + 을/ETM
시간이	시간/NNG + 이/JKS
거의	거의/MAG
없었을	없/VA + 었/EP + 을/ETM
텐데?	터/NNB + 이/VCP + ㄴ데/EF + ?/SF

"시즌	"/SS + 시즌/NNG
중	중/NNB
한두	한두/MM
번	번/NNB
정도	정도/NNG
집에	집/NNG + 에/JKB
갔던	가/VV + 았/EP + 던/ETM
것	것/NNB
같다.	같/VA + 다/EF + ./SF

우승	우승/NNG
기쁨도	기쁨/NNG + 도/JX
하루	하루/NNG
지난	지나/VV + ㄴ/ETM
후에야	후/NNG + 에/JKB + 야/JX
나눴다.	나누/VV + 었/EP + 다/EF + ./SF

결혼한	결혼/NNG + 하/XSV + ㄴ/ETM
선수들이	선수/NNG + 들/XSN + 이/JKS
많았지만	많/VA + 았/EP + 지만/EC
선수들	선수/NNG + 들/XSN
역시	역시/MAG
집에	집/NNG + 에/JKB
거의	거의/MAG
못갔다.	못/MAG + 가/VV + 았/EP + 다/EF + ./SF

대신	대신/NNG
숙소생활에선	숙소/NNG + 생활/NNG + 에서/JKB + ㄴ/JX
최대한	최대한/NNG
자율을	자율/NNG + 을/JKO
부여했다.	부여/NNG + 하/XSV + 았/EP + 다/EF + ./SF

밤	밤/NNG
12시	12/SN + 시/NNB
전에만	전/NNG + 에/JKB + 만/JX
들어오면	들어오/VV + 면/EC
문제	문제/NNG
삼지	삼/VV + 지/EC
않았다."	않/VX + 았/EP + 다/EF + ./SF + "/SS

-이제	-/SS + 이제/MAG
우승감독으로	우승/NNG + 감독/NNG + 으로/JKB
내년을	내년/NNG + 을/JKO
어떻게	어떻/VA + 게/EC
준비할	준비/NNG + 하/XSV + ㄹ/ETM
생각인가?	생각/NNG + 이/VCP + ㄴ가/EF + ?/SF

"지금	"/SS + 지금/MAG
멤버에	멤버/NNG + 에/JKB
신기성(현	신기성/NNP + (/SS + 현/MM
상무)이	상무/NNG + )/SS + 이/JKS
들어오면	들어오/VV + 면/EC
전력이	전력/NNG + 이/JKS
더	더/MAG
좋아진다.	좋/VA + 아/EC + 지/VX + ㄴ다/EF + ./SF

외국인선수(현재	외국인/NNG + 선수/NNG + (/SS + 현재/MAG
잭슨과	잭슨/NNP + 과/JC
데릭스)는	데릭스/NNP + )/SS + 는/JX
미국	미국/NNP
캠프를	캠프/NNG + 를/JKO
둘러본	둘러보/VV + ㄴ/ETM
후	후/NNG
재계약	재/XPN + 계약/NNG
여부를	여부/NNG + 를/JKO
결정하겠다."	결정/NNG + 하/XSV + 겠/EP + 다/EF + ./SF + "/SS

기아와	기아/NNP + 와/JC
삼성은	삼성/NNP + 은/JX
언제까지	언제/NP + 까지/JX
독주를	독주/NNG + 를/JKO
이어갈	잇/VV + 어/EC + 가/VX + ㄹ/ETM
것인가.	것/NNB + 이/VCP + ㄴ가/EF + ./SF

두	두/MM
팀은	팀/NNG + 은/JX
개막	개막/NNG
이후	이후/NNG
8연승을	8/SN + 연승/NNG + 을/JKO
달리며	달리/VV + 며/EC
'개막	'/SS + 개막/NNG
연승'	연승/NNG + '/SS
기록(종전	기록/NNG + (/SS + 종전/NNG
6연승)을	6/SN + 연승/NNG + )/SS + 을/JKO
나란히	나란히/MAG
깼다.	깨/VV + 었/EP + 다/EF + ./SF

지난주(8~13일)엔	지난주/NNG + (/SS + 8/SN + ~/SO + 13/SN + 일/NNB + )/SS + 에/JKB + ㄴ/JX
1점대	1/SN + 점/NNB + 대/XSN
팀	팀/NNG
방어율과	방어/NNG + 율/XSN + 과/JC
3할	3/SN + 할/NNB
안팎의	안팎/NNG + 의/JKG
팀	팀/NNG
타율로	타율/NNG + 로/JKB
다른	다른/MM
팀들을	팀/NNG + 들/XSN + 을/JKO
압도했다.	압도/NNG + 하/XSV + 았/EP + 다/EF + ./SF

기아는	기아/NNP + 는/JX
리오스·키퍼·김진우·최상덕이	리오스/NNP + ·/SP + 키퍼/NNP + ·/SP + 김진우/NNP + ·/SP + 최상덕/NNP + 이/JKS
이루는	이루/VV + 는/ETM
선발	선발/NNG
투수진이	투수진/NNG + 이/JKS
8개	8/SN + 개/NNB
구단	구단/NNG
중	중/NNB
가장	가장/MAG
탄탄한	탄탄/XR + 하/XSA + ㄴ/ETM
데다,	데/NNB + 다/JX + ,/SP
두산에서	두산/NNP + 에서/JKB
데려온	데려오/VV + ㄴ/ETM
진필중이	진필중/NNP + 이/JKS
뒷문을	뒷문/NNG + 을/JKO
든든히	든든히/MAG
지킨다.	지키/VV + ㄴ다/EF + ./SF

공격의	공격/NNG + 의/JKG
핵은	핵/NNG + 은/JX
이종범(33).	이종범/NNP + (/SS + 33/SN + )/SS + ./SF

14일	14/SN + 일/NNB
현재	현재/MAG
타격(0.472),	타격/NNG + (/SS + 0/SN + ./SP + 472/SN + )/SS + ,/SP
최다안타(17개),	최다/NNG + 안타/NNG + (/SS + 17/SN + 개/NNB + )/SS + ,/SP
타점(9개),	타점/NNG + (/SS + 9/SN + 개/NNB + )/SS + ,/SP
득점(11개),	득점/NNG + (/SS + 11/SN + 개/NNB + )/SS + ,/SP
장타율(0.917),	장타/NNG + 율/XSN + (/SS + 0/SN + ./SP + 917/SN + )/SS + ,/SP
도루(3개)	도루/NNG + (/SS + 3/SN + 개/NNB + )/SS
등	등/NNB
공격	공격/NNG
6개	6/SN + 개/NNB
부문에서	부문/NNG + 에서/JKB
선두에	선두/NNG + 에/JKB
나섰다.	나서/VV + 었/EP + 다/EF + ./SF

홈런도	홈런/NNG + 도/JX
3개를	3/SN + 개/NNB + 를/JKO
쳐	치/VV + 어/EC
이	이/MM
부문	부문/NNG
1위인	1/SN + 위/NNB + 이/VCP + ㄴ/ETM
삼성	삼성/NNP
마해영(4개)을	마해영/NNP + (/SS + 4/SN + 개/NNB + )/SS + 을/JKO
바짝	바짝/MAG
쫓고	쫓/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

지난	지나/VV + ㄴ/ETM
시즌	시즌/NNG
얼굴에	얼굴/NNG + 에/JKB
공을	공/NNG + 을/JKO
맞아	맞/VV + 아/EC
다친	다치/VV + ㄴ/ETM
이후	이후/NNG
헬멧에	헬멧/NNG + 에/JKB
안면	안면/NNG
보호대를	보호대/NNG + 를/JKO
붙이고	붙이/VV + 고/EC
출전	출전/NNG
중인데,	중/NNB + 이/VCP + ㄴ데/EC + ,/SP
오히려	오히려/MAG
심리적인	심리/NNG + 적/XSN + 이/VCP + ㄴ/ETM
안정을	안정/NNG + 을/JKO
찾았다.	찾/VV + 았/EP + 다/EF + ./SF

기아는	기아/NNP + 는/JX
이종범을	이종범/NNP + 을/JKO
주축으로	주축/NNG + 으로/JKB
유일하게	유일/NNG + 하/XSA + 게/EC
8경기	8/SN + 경기/NNG
내리	내리/MAG
10안타	10/SN + 안타/NNG
이상을	이상/NNG + 을/JKO
쳐	치/VV + 어/EC
냈다.	내/VX + 었/EP + 다/EF + ./SF

지난	지나/VV + ㄴ/ETM
시즌	시즌/NNG
챔피언	챔피언/NNG
삼성도	삼성/NNP + 도/JX
기아와	기아/NNP + 와/JC
비슷한	비슷/XR + 하/XSA + ㄴ/ETM
'공식'으로	'/SS + 공식/NNG + '/SS + 으로/JKB
상승세를	상승세/NNG + 를/JKO
타고	타/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

엘비라·임창용·김진웅·배영수	엘비라/NNP + ·/SP + 임창용/NNP + ·/SP + 김진웅/NNP + ·/SP + 배영수/NNP
등의	등/NNB + 의/JKG
투수진과	투수진/NNG + 과/JC
마해영·양준혁·브리또	마해영/NNP + ·/SP + 양준혁/NNP + ·/SP + 브리또/NNP
등을	등/NNB + 을/JKO
앞세운	앞세우/VV + ㄴ/ETM
타격이	타격/NNG + 이/JKS
제	저/NP + 의/JKG
몫을	몫/NNG + 을/JKO
다해준다.	다/MAG + 하/VV + 아/EC + 주/VX + ㄴ다/EF + ./SF

단	단/MM
이승엽(타율0.182·3홈런)이	이승엽/NNP + (/SS + 타율/NNG + 0/SN + ./SP + 182/SN + ·/SP + 3/SN + 홈런/NNG + )/SS + 이/JKS
2홈런을	2/SN + 홈런/NNG + 을/JKO
몰아친	몰아치/VV + ㄴ/ETM
개막전	개막전/NNG
이후	이후/NNG
주춤거리고	주춤거리/VV + 고/EC
있는	있/VX + 는/ETM
점이	점/NNG + 이/JKS
부담스럽다.	부담/NNG + 스럽/XSA + 다/EF + ./SF

이번주엔	이번/NNG + 주/NNG + 에/JKB + ㄴ/JX
'2강'의	'/SS + 2/SN + 강/NNG + '/SS + 의/JKG
행보가	행보/NNG + 가/JKS
순탄치만은	순탄/XR + 하/XSA + 지만/EC + 은/JX
않을	않/VX + 을/ETM
듯.	듯/NNB + ./SF

삼성은	삼성/NNP + 은/JX
주중	주중/NNG
현대·SK와	현대/NNG + ·/SP + SK/SL + 와/JKB
원정	원정/NNG
6연전을	6/SN + 연전/NNG + 을/JKO
치를	치르/VV + ㄹ/ETM
예정이다.	예정/NNG + 이/VCP + 다/EF + ./SF

그중	그중/NNG
정민태,	정민태/NNP + ,/SP
바워스가	바워스/NNP + 가/JKS
마운드를	마운드/NNG + 를/JKO
지키고	지키/VV + 고/EC
있는	있/VX + 는/ETM
현대가	현대/NNP + 가/JKS
껄끄럽다.	껄끄럽/VA + 다/EF + ./SF

기아는	기아/NNP + 는/JX
SK·LG와	SK/SL + ·/SP + LG/SL + 와/JKB
홈	홈/NNG
6연전을	6/SN + 연전/NNG + 을/JKO
벌여	벌이/VV + 어/EC
유리한	유리/NNG + 하/XSA + ㄴ/ETM
편.	편/NNB + ./SF

일단	일단/MAG
이승호·송은범·엄정욱	이승호/NNP + ·/SP + 송은범/NNP + ·/SP + 엄정욱/NNP
등	등/NNB
젊은	젊/VA + 은/ETM
투수들이	투수/NNG + 들/XSN + 이/JKS
지키는	지키/VV + 는/ETM
SK마운드를	SK/SL + 마운드/NNG + 를/JKO
어떻게	어떻/VA + 게/EC
공략하느냐가	공략/NNG + 하/XSV + 느냐/EC + 가/JKS
관건이다.	관건/NNG + 이/VCP + 다/EF + ./SF

8연패라는	8/SN + 연패/NNG + 이/VCP + 라는/ETM
최악의	최악/NNG + 의/JKG
성적으로	성적/NNG + 으로/JKB
바닥에	바닥/NNG + 에/JKB
떨어진	떨어지/VV + ㄴ/ETM
두산은	두산/NNP + 은/JX
