러시아의	러시아/NNP + 의/JKG
색다른	색다르/VA + ㄴ/ETM
아이디어가	아이디어/NNG + 가/JKS
엿보인다.	엿보이/VV + ㄴ다/EF + ./SF

영화사	영화사/NNG
루카스	루카스/NNP
필름의	필름/NNG + 의/JKG
자회사가	자회사/NNG + 가/JKS
만든	만들/VV + ㄴ/ETM
게임답게	게임/NNG + 답/XSA + 게/EC
화면과	화면/NNG + 과/JC
소리에	소리/NNG + 에/JKB
매우	매우/MAG
영화적인	영화/NNG + 적/XSN + 이/VCP + ㄴ/ETM
요소가	요소/NNG + 가/JKS
많다.	많/VA + 다/EF + ./SF

레이저를	레이저/NNG + 를/JKO
발사할	발사/NNG + 하/XSV + ㄹ/ETM
때의	때/NNG + 의/JKG
총소리,	총소리/NNG + ,/SP
각종	각종/NNG
효과음들도	효과음/NNG + 들/XSN + 도/JX
영화	영화/NNG
'스타워즈'에서	'/SS + 스타워즈/NNP + '/SS + 에서/JKB
그대로	그대로/MAG
따	따/VV + 아/EC
왔다.	오/VX + 았/EP + 다/EF + ./SF

'스트라이크	'/SS + 스트라이크/NNP
커맨더'는	커맨더/NNG + '/SS + 는/JX
90년	90/SN + 년/NNB
비행	비행/NNG
시뮬레이션의	시뮬레이션/NNG + 의/JKG
걸작	걸작/NNG
'윙	'/SS + 윙/NNP
커맨더'를	커맨더/NNG + '/SS + 를/JKO
내놓았던	내놓/VV + 았/EP + 던/ETM
미국	미국/NNP
오리진사의	오리진사/NNP + 의/JKG
야심작.	야심작/NNG + ./SF

서기	서기/NNG
2013년이	2013/SN + 년/NNB + 이/JKS
배경이다.	배경/NNG + 이/VCP + 다/EF + ./SF

진행자는	진행자/NNG + 는/JX
게임이	게임/NNG + 이/JKS
시작되면	시작/NNG + 되/XSV + 면/EC
사막	사막/NNG
한가운데	한/XPN + 가운데/NNG
있는	있/VV + 는/ETM
'들고양이(와일드	'/SS + 들고양이/NNG + (/SS + 와일드/NNG
캐츠)'라는	캐츠/NNG + )/SS + '/SS + 이/VCP + 라는/ETM
부대에	부대/NNG + 에/JKB
배치돼	배치/NNG + 되/XSV + 어/EC
오직	오직/MAG
적기를	적기/NNG + 를/JKO
많이	많이/MAG
떨어뜨려야	떨어뜨리/VV + 어야/EC
하는	하/VX + 는/ETM
공군이	공군/NNG + 이/JKC
된다.	되/VV + ㄴ다/EF + ./SF

재미	재미/NNG
있는	있/VV + 는/ETM
것은,	것/NNB + 은/JX + ,/SP
이	이/MM
게임의	게임/NNG + 의/JKG
주인공은	주인공/NNG + 은/JX
특정한	특정/NNG + 하/XSA + ㄴ/ETM
국적도	국적/NNG + 도/JX
없는	없/VA + 는/ETM
용병	용병/NNG
신분으로	신분/NNG + 으로/JKB
되어	되/VV + 어/EC
있기	있/VX + 기/ETN
때문에	때문/NNB + 에/JKB
전쟁에는	전쟁/NNG + 에/JKB + 는/JX
사사건건	사사건건/MAG
돈	돈/NNG
문제가	문제/NNG + 가/JKS
개입된다.	개입/NNG + 되/XSV + ㄴ다/EF + ./SF

적기를	적기/NNG + 를/JKO
격추시키면	격추/NNG + 시키/XSV + 면/EC
그	그/MM
수만큼	수/NNG + 만큼/JX
돈을	돈/NNG + 을/JKO
받게	받/VV + 게/EC
되고	되/VV + 고/EC
반대로	반대/NNG + 로/JKB
자기	자기/NP
비행기가	비행기/NNG + 가/JKS
격추되면	격추/NNG + 되/XSV + 면/EC
거금을	거금/NNG + 을/JKO
들여	들이/VV + 어/EC
비행기를	비행기/NNG + 를/JKO
새로	새로/MAG
사야	사/VV + 아야/EC
하도록	하/VX + 도록/EC
돼	되/VV + 어/EC
있다.	있/VX + 다/EF + ./SF

무대는	무대/NNG + 는/JX
처음엔	처음/NNG + 에/JKB + ㄴ/JX
아프리카	아프리카/NNP
사막에서	사막/NNG + 에서/JKB
시작하지만	시작/NNG + 하/XSV + 지만/EC
이어	이어/MAG
남미의	남미/NNP + 의/JKG
안데스	안데스/NNP
산맥,	산맥/NNG + ,/SP
알래스카,	알래스카/NNP + ,/SP
그랜드	그랜드/NNG
캐년,	캐년/NNG + ,/SP
유럽	유럽/NNP
등지로	등지/NNB + 로/JKB
종횡무진	종횡무진/NNG
이동한다.	이동/NNG + 하/XSV + ㄴ다/EF + ./SF

비행	비행/NNG
시뮬레이션	시뮬레이션/NNG
게임치고는	게임/NNG + 치고/JX + 는/JX
조종은	조종/NNG + 은/JX
비교적	비교/NNG + 적/XSN
간단한	간단/XR + 하/XSA + ㄴ/ETM
대신,	대신/NNG + ,/SP
공중전과	공중전/NNG + 과/JC
폭격	폭격/NNG
등	등/NNB
액션이	액션/NNG + 이/JKS
다채롭다.	다채/XR + 롭/XSA + 다/EF + ./SF

두	두/MM
게임은	게임/NNG + 은/JX
3차원의	3/SN + 차원/NNG + 의/JKG
생동감	생동감/NNG
있는	있/VV + 는/ETM
컬러	컬러/NNG
화면,	화면/NNG + ,/SP
웅장한	웅장/XR + 하/XSA + ㄴ/ETM
사운드,	사운드/NNG + ,/SP
잘	잘/MAG
짜여진	짜이/VV + 어/EC + 지/VX + ㄴ/ETM
시나리오	시나리오/NNG
등으로	등/NNB + 으로/JKB
'제2의	'/SS + 제/XPN + 2/SN + 의/JKG
영화'로도	영화/NNG + '/SS + 로/JKB + 도/JX
불리는	불리/VV + 는/ETM
작품이다.	작품/NNG + 이/VCP + 다/EF + ./SF

다만	다만/MAG
컴퓨터에서	컴퓨터/NNG + 에서/JKB
그런	그런/MM
다채로움을	다채/XR + 롭/XSA + ㅁ/ETN + 을/JKO
구현하려면	구현/NNG + 하/XSV + 려면/EC
용량도	용량/NNG + 도/JX
엄청나게	엄청나/VA + 게/EC
커지고	커지/VV + 고/EC
기종도	기종/NNG + 도/JX
최소한	최소한/NNG
386DX	386/SN + DX/SL
이상	이상/NNG
되는	되/VV + 는/ETM
고급이어야	고급/NNG + 이/VCP + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

특허에	특허/NNG + 에/JKB
관한	관하/VV + ㄴ/ETM
기본법인	기본법/NNG + 이/VCP + ㄴ/ETM
산업재산권	산업/NNG + 재산/NNG + 권/XSN
4개	4/SN + 개/NNB
법(특허법	법/NNG + (/SS + 특허법/NNG
실용신안법	실용신안법/NNG
의장법	의장법/NNG
상표법)이	상표법/NNG + )/SS + 이/JKS
출원인의	출원인/NNG + 의/JKG
편의에	편의/NNG + 에/JKB
맞게	맞/VV + 게/EC
개정될	개정/NNG + 되/XSV + ㄹ/ETM
전망이다.	전망/NNG + 이/VCP + 다/EF + ./SF

특허청은	특허청/NNG + 은/JX
산업재산권	산업/NNG + 재산/NNG + 권/XSN
4법	4/SN + 법/NNG
개정을	개정/NNG + 을/JKO
위한	위하/VV + ㄴ/ETM
사전조치로	사전/NNG + 조치/NNG + 로/JKB
1일	1/SN + 일/NNB
서울	서울/NNP
삼성동	삼성동/NNP
한국	한국/NNP
종합전시장에서	종합/NNG + 전시장/NNG + 에서/JKB
공청회를	공청회/NNG + 를/JKO
갖고	갖/VV + 고/EC
기존법의	기존/NNG + 법/NNG + 의/JKG
문제점과	문제점/NNG + 과/JC
개정	개정/NNG
방안을	방안/NNG + 을/JKO
논의했다.	논의/NNG + 하/XSV + 았/EP + 다/EF + ./SF

개정안은	개정안/NNG + 은/JX
특허법	특허법/NNG
중에서	중/NNB + 에서/JKB
특허가	특허/NNG + 가/JKS
만료기간	만료/NNG + 기간/NNG
전에	전/NNG + 에/JKB
소멸됐을	소멸/NNG + 되/XSV + 었/EP + 을/ETM
경우	경우/NNG
정부는	정부/NNG + 는/JX
이미	이미/MAG
납부한	납부/NNG + 하/XSV + ㄴ/ETM
등록료를	등록료/NNG + 를/JKO
특허제출자에게	특허/NNG + 제출자/NNG + 에게/JKB
돌려주도록	돌려주/VV + 도록/EC
했다.	하/VX + 았/EP + 다/EF + ./SF

현행	현행/NNG
특허법은	특허법/NNG + 은/JX
등록인이	등록인/NNG + 이/JKS
특허등록을	특허/NNG + 등록/NNG + 을/JKO
할	하/VV + ㄹ/ETM
때	때/NNG
3년치	3/SN + 년/NNB + 치/XSN
이상의	이상/NNG + 의/JKG
등록료를	등록료/NNG + 를/JKO
한꺼번에	한꺼번에/MAG
납부하도록	납부/NNG + 하/XSV + 도록/EC
하고	하/VX + 고/EC
있다.	있/VX + 다/EF + ./SF

만약	만약/NNG
특허등록	특허/NNG + 등록/NNG
만료기간인	만료/NNG + 기간/NNG + 이/VCP + ㄴ/ETM
15년치를	15/SN + 년/NNB + 치/XSN + 를/JKO
한꺼번에	한꺼번에/MAG
납부할	납부/NNG + 하/XSV + ㄹ/ETM
경우	경우/NNG
최소한	최소한/NNG
1백	1/SN + 백/NR
59만원	59/SN + 만/NR + 원/NNB
이상을	이상/NNG + 을/JKO
내야	내/VV + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

그러나	그러나/MAJ
중간에	중간/NNG + 에/JKB
여러	여러/MM
가지	가지/NNB
이유로	이유/NNG + 로/JKB
특허가	특허/NNG + 가/JKS
소멸됐을	소멸/NNG + 되/XSV + 었/EP + 을/ETM
경우	경우/NNG
지금까지는	지금/NNG + 까지/JX + 는/JX
남은	남/VV + 은/ETM
특허등록료를	특허/NNG + 등록료/NNG + 를/JKO
국고에	국고/NNG + 에/JKB
귀납했으나	귀납/NNG + 하/XSV + 았/EP + 으나/EC
개정안에서는	개정안/NNG + 에서/JKB + 는/JX
등록인에게	등록인/NNG + 에게/JKB
돌려주도록	돌려주/VV + 도록/EC
했다.	하/VX + 았/EP + 다/EF + ./SF

개정안은	개정안/NNG + 은/JX
실용신안법과	실용신안법/NNG + 과/JC
의장법에서도	의장법/NNG + 에서/JKB + 도/JX
같은	같/VA + 은/ETM
취지로	취지/NNG + 로/JKB
등록료를	등록료/NNG + 를/JKO
돌려주도록	돌려주/VV + 도록/EC
했다.	하/VX + 았/EP + 다/EF + ./SF

의장법	의장법/NNG
개정안은	개정안/NNG + 은/JX
의장존속기간을	의장/NNG + 존속/NNG + 기간/NNG + 을/JKO
현재의	현재/NNG + 의/JKG
8년에서	8/SN + 년/NNB + 에서/JKB
10년으로	10/SN + 년/NNB + 으로/JKB
늘리도록	늘리/VV + 도록/EC
했다.	하/VX + 았/EP + 다/EF + ./SF

우리	우리/NP
나라의	나라/NNG + 의/JKG
의장존속기간은	의장/NNG + 존속/NNG + 기간/NNG + 은/JX
미국	미국/NNP
14년,	14/SN + 년/NNB + ,/SP
일본	일본/NNP
15년에	15/SN + 년/NNB + 에/JKB
비해	비하/VV + 아/EC
너무	너무/MAG
짧아	짧/VA + 아/EC
외국과의	외국/NNG + 과/JKB + 의/JKG
지적	지/NNG + 적/XSN
재산권	재산/NNG + 권/XSN
협상	협상/NNG
때	때/NNG
논란이	논란/NNG + 이/JKC
됐던	되/VV + 었/EP + 던/ETM
부분이다.	부분/NNG + 이/VCP + 다/EF + ./SF

또	또/MAG
사용하지	사용/NNG + 하/XSV + 지/EC
않은	않/VX + 은/ETM
의장	의장/NNG
중	중/NNB
수출확대	수출/NNG + 확대/NNG
등을	등/NNB + 을/JKO
위해	위하/VV + 아/EC
다른	다른/MM
사람이	사람/NNG + 이/JKC
사용할	사용/NNG + 하/XSV + ㄹ/ETM
필요가	필요/NNG + 가/JKS
있을	있/VV + 을/ETM
경우	경우/NNG
특허청이	특허청/NNG + 이/JKS
구성한	구성/NNG + 하/XSV + ㄴ/ETM
심사위원회의	심사/NNG + 위원회/NNG + 의/JKG
심사를	심사/NNG + 를/JKO
거쳐	거치/VV + 어/EC
의장권을	의장/NNG + 권/XSN + 을/JKO
제	제/XPN
3자에게	3/SN + 자/NNB + 에게/JKB
주도록	주/VV + 도록/EC
했다.	하/VX + 았/EP + 다/EF + ./SF

개정안에서	개정안/NNG + 에서/JKB
가장	가장/MAG
많은	많/VA + 은/ETM
내용이	내용/NNG + 이/JKS
바뀐	바뀌/VV + ㄴ/ETM
법은	법/NNG + 은/JX
상표법으로	상표법/NNG + 으로/JKB
불합리한	불/XPN + 합리/NNG + 하/XSA + ㄴ/ETM
상표갱신제도가	상표/NNG + 갱신/NNG + 제도/NNG + 가/JKS
대폭	대폭/MAG
개선될	개선/NNG + 되/XSV + ㄹ/ETM
전망이다.	전망/NNG + 이/VCP + 다/EF + ./SF

상표권자가	상표권자/NNG + 가/JKS
상표사용	상표/NNG + 사용/NNG
만료기간인	만료/NNG + 기간/NNG + 이/VCP + ㄴ/ETM
10년이	10/SN + 년/NNB + 이/JKS
지난	지나/VV + ㄴ/ETM
뒤	뒤/NNG
계속	계속/MAG
사용하려면	사용/NNG + 하/XSV + 려면/EC
그	그/MM
동안의	동안/NNG + 의/JKG
사용실적을	사용/NNG + 실적/NNG + 을/JKO
특허청에	특허청/NNG + 에/JKB
제시해야	제시/NNG + 하/XSV + 아야/EC
하는	하/VX + 는/ETM
데	데/NNB
지금까지는	지금/NNG + 까지/JX + 는/JX
신문	신문/NNG
잡지등에	잡지/NNG + 등/NNB + 에/JKB
낸	내/VV + ㄴ/ETM
광고를	광고/NNG + 를/JKO
증거물로	증거물/NNG + 로/JKB
채택했다.	채택/NNG + 하/XSV + 았/EP + 다/EF + ./SF

이것은	이것/NP + 은/JX
실효성이	실효/NNG + 성/XSN + 이/JKS
적을	적/VA + 을/ETM
뿐더러	뿐/NNB + 더러/JKB
상표권자에게	상표권자/NNG + 에게/JKB
경제적	경제/NNG + 적/XSN
부담을	부담/NNG + 을/JKO
안겨주기	안기/VV + 어/EC + 주/VX + 기/ETN
때문에	때문/NNB + 에/JKB
개정안에서는	개정안/NNG + 에서/JKB + 는/JX
이를	이/NP + 를/JKO
폐지했다.	폐지/NNG + 하/XSV + 았/EP + 다/EF + ./SF

이와	이/NP + 와/JKB
함께	함께/MAG
현행상표법은	현행/NNG + 상표법/NNG + 은/JX
상표권	상표/NNG + 권/XSN
존속기간인	존속/NNG + 기간/NNG + 이/VCP + ㄴ/ETM
10년이	10/SN + 년/NNB + 이/JKS
만료되기	만료/NNG + 되/XSV + 기/ETN
1년	1/SN + 년/NNB
이내에	이내/NNG + 에/JKB
상표등록갱신을	상표/NNG + 등록/NNG + 갱신/NNG + 을/JKO
출원하도록	출원/NNG + 하/XSV + 도록/EC
규정하고	규정/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

그러나	그러나/MAJ
개정안은	개정안/NNG + 은/JX
상표권자가	상표권자/NNG + 가/JKS
부주의로	부/XPN + 주의/NNG + 로/JKB
이	이/MM
기간	기간/NNG
내에	내/NNB + 에/JKB
출원하지	출원/NNG + 하/XSV + 지/EC
못한	못하/VX + ㄴ/ETM
경우	경우/NNG
만료	만료/NNG
후	후/NNG
6개월	6/SN + 개월/NNB
동안에는	동안/NNG + 에/JKB + 는/JX
추가로	추가/NNG + 로/JKB
갱신	갱신/NNG
출원할	출원/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
유예기간을	유예/NNG + 기간/NNG + 을/JKO
설정했다.	설정/NNG + 하/XSV + 았/EP + 다/EF + ./SF

또	또/MAG
상표권을	상표/NNG + 권/XSN + 을/JKO
제3자에게	제/XPN + 3/SN + 자/NNB + 에게/JKB
이전한	이전/NNG + 하/XSV + ㄴ/ETM
경우	경우/NNG
현행법은	현행법/NNG + 은/JX
일간지에만	일간지/NNG + 에/JKB + 만/JX
이	이/MM
사실을	사실/NNG + 을/JKO
공고하도록	공고/NNG + 하/XSV + 도록/EC
한	하/VX + ㄴ/ETM
것을	것/NNB + 을/JKO
특허청이	특허청/NNG + 이/JKS
전국에	전국/NNG + 에/JKB
배포하는	배포/NNG + 하/XSV + 는/ETM
상표공보에	상표/NNG + 공보/NNG + 에/JKB
무료로	무료/NNG + 로/JKB
공고하는	공고/NNG + 하/XSV + 는/ETM
것도	것/NNB + 도/JX
포함시켰다.	포함/NNG + 시키/XSV + 었/EP + 다/EF + ./SF

이번	이번/NNG
개정안은	개정안/NNG + 은/JX
영세발명가를	영세/NNG + 발명가/NNG + 를/JKO
보호하고	보호/NNG + 하/XSV + 고/EC
행정	행정/NNG
절차를	절차/NNG + 를/JKO
관	관/NNG
위주에서	위주/NNG + 에서/JKB
출원인	출원인/NNG
위주의	위주/NNG + 의/JKG
편의주의로	편의주의/NNG + 로/JKB
바꾸는	바꾸/VV + 는/ETM
데	데/NNB
의의가	의의/NNG + 가/JKS
있다고	있/VV + 다고/EC
안광구	안광구/NNP
특허청장은	특허청장/NNG + 은/JX
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

독일에는	독일/NNP + 에/JKB + 는/JX
도로	도로/NNG
한가운데에	한/XPN + 가운데/NNG + 에/JKB
자전거	자전거/NNG
전용도로가	전용/NNG + 도로/NNG + 가/JKS
설치된	설치/NNG + 되/XSV + ㄴ/ETM
지역들이	지역/NNG + 들/XSN + 이/JKS
있다.	있/VV + 다/EF + ./SF

왕복	왕복/NNG
4차선	4/SN + 차선/NNG
도로라면	도로/NNG + 이/VCP + 라면/EC
1차선과	1/SN + 차선/NNG + 과/JC
2차선	2/SN + 차선/NNG
사이에	사이/NNG + 에/JKB
폭	폭/NNG
2m	2/SN + m/SL
정도의	정도/NNG + 의/JKG
자전거	자전거/NNG
도로가	도로/NNG + 가/JKS
나	나/VV + 아/EC
있는	있/VX + 는/ETM
방식이다.	방식/NNG + 이/VCP + 다/EF + ./SF

이	이/NP
같은	같/VA + 은/ETM
독특한	독특/NNG + 하/XSA + ㄴ/ETM
자전거	자전거/NNG
도로의	도로/NNG + 의/JKG
설치방식은	설치/NNG + 방식/NNG + 은/JX
자전거	자전거/NNG
이용자들의	이용자/NNG + 들/XSN + 의/JKG
이익을	이익/NNG + 을/JKO
대변하는	대변/NNG + 하/XSV + 는/ETM
압력단체	압력/NNG + 단체/NNG
'전독일	'/SS + 전/MM + 독일/NNP
자전거협회(ADFC)'의	자전거/NNG + 협회/NNG + (/SS + ADFC/SL + )/SS + '/SS + 의/JKG
작품이다.	작품/NNG + 이/VCP + 다/EF + ./SF

네거리와	네거리/NNG + 와/JC
건널목이	건널목/NNG + 이/JKS
많은	많/VA + 은/ETM
도로에선	도로/NNG + 에서/JKB + ㄴ/JX
이런	이런/MM
형태의	형태/NNG + 의/JKG
자전거	자전거/NNG
도로가	도로/NNG + 가/JKS
사고	사고/NNG
확률을	확률/NNG + 을/JKO
훨씬	훨씬/MAG
낮출	낮추/VV + ㄹ/ETM
수	수/NNB
있다는	있/VV + 다는/ETM
ADFC의	ADFC/SL + 의/JKG
연구	연구/NNG
결과에	결과/NNG + 에/JKB
따른	따르/VV + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

또	또/MAG
탱크로리	탱크로리/NNG
등	등/NNB
대형	대형/NNG
중기차의	중기/NNG + 차/NNG + 의/JKG
옆부분에	옆/NNG + 부분/NNG + 에/JKB
철판을	철판/NNG + 을/JKO
대도록	대/VV + 도록/EC
규제하고	규제/NNG + 하/XSV + 고/EC
있는	있/VX + 는/ETM
주들이	주/NNG + 들/XSN + 이/JKS
많다.	많/VA + 다/EF + ./SF

자전거와의	자전거/NNG + 와/JKB + 의/JKG
접촉이나	접촉/NNG + 이나/JC
충돌사고시	충돌/NNG + 사고/NNG + 시/NNB
자전거가	자전거/NNG + 가/JKS
중기차의	중기/NNG + 차/NNG + 의/JKG
아랫부분으로	아랫부분/NNG + 으로/JKB
끼여	끼이/VV + 어/EC
들어가는	들어가/VV + 는/ETM
것을	것/NNB + 을/JKO
막자는	막/VV + 자는/ETM
뜻에서다.	뜻/NNG + 에서/JKB + 이/VCP + 다/EF + ./SF

이것도	이것/NP + 도/JX
ADFC가	ADFC/SL + 가/JKS
압력을	압력/NNG + 을/JKO
가한	가하/VV + ㄴ/ETM
결과다.	결과/NNG + 이/VCP + 다/EF + ./SF

독일	독일/NNP
북부	북부/NNG
항구도시	항구/NNG + 도시/NNG
브레멘에	브레멘/NNP + 에/JKB
본부를	본부/NNG + 를/JKO
둔	두/VV + ㄴ/ETM
ADFC는	ADFC/SL + 는/JX
83년	83/SN + 년/NNB
5월	5/SN + 월/NNB
'자동차만	'/SS + 자동차/NNG + 만/JX
위한	위하/VV + ㄴ/ETM
길에서	길/NNG + 에서/JKB
자전거를	자전거/NNG + 를/JKO
위한	위하/VV + ㄴ/ETM
길로'라는	길/NNG + 로/JKB + '/SS + 이/VCP + 라는/ETM
구호를	구호/NNG + 를/JKO
걸고	걸/VV + 고/EC
닻을	닻/NNG + 을/JKO
올렸다.	올리/VV + 었/EP + 다/EF + ./SF

4천	4/SN + 천/NR
5백만대의	5/SN + 백만/NR + 대/NNB + 의/JKG
자전거를	자전거/NNG + 를/JKO
보유한	보유/NNG + 하/XSV + ㄴ/ETM
자전거	자전거/NNG
대국이다	대국/NNG + 이/VCP + 다/EC
보니	보/VV + 니/EC
자전거	자전거/NNG
이용자를	이용자/NNG + 를/JKO
위한	위하/VV + ㄴ/ETM
정책의	정책/NNG + 의/JKG
필요성이	필요/NNG + 성/XSN + 이/JKS
대두된	대두/NNG + 되/XSV + ㄴ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

현재	현재/MAG
협회	협회/NNG
회원	회원/NNG
수는	수/NNG + 는/JX
7만명.	7/SN + 만/NR + 명/NNB + ./SF

본	본/NNP
쾰른	쾰른/NNP
함부르크	함부르크/NNP
등	등/NNB
전국	전국/NNG
16	16/SN
개	개/NNB
도시에는	도시/NNG + 에/JKB + 는/JX
지부도	지부/NNG + 도/JX
설치돼	설치/NNG + 되/XSV + 어/EC
있다.	있/VX + 다/EF + ./SF

베를린시	베를린시/NNP
지부에선	지부/NNG + 에서/JKB + ㄴ/JX
매주	매주/MAG
목요일	목요일/NNG
오후	오후/NNG
7시면	7/SN + 시/NNB + 이/VCP + 면/EC
공무원	공무원/NNG
회사원	회사원/NNG
교수	교수/NNG
등	등/NNB
각자	각자/MAG
직업을	직업/NNG + 을/JKO
갖고	갖/VV + 고/EC
있는	있/VX + 는/ETM
10여	10/SN + 여/XSN
명의	명/NNB + 의/JKG
간부들이	간부/NNG + 들/XSN + 이/JKS
머리를	머리/NNG + 를/JKO
맞대고	맞대/VV + 고/EC
토론에	토론/NNG + 에/JKB
들어간다.	들어가/VV + ㄴ다/EF + ./SF

최근의	최근/NNG + 의/JKG
관심사는	관심사/NNG + 는/JX
통독	통독/NNP
후	후/NNG
베를린시	베를린시/NNP
재개발	재/XPN + 개발/NNG
과정에서	과정/NNG + 에서/JKB
생기는	생기/VV + 는/ETM
문제점들.	문제점/NNG + 들/XSN + ./SF

시	시/NNG
당국이	당국/NNG + 이/JKS
시내에	시내/NNG + 에/JKB
자동차	자동차/NNG
고속도로를	고속도로/NNG + 를/JKO
건설하고	건설/NNG + 하/XSV + 고/EC
간선도로도	간선/NNG + 도로/NNG + 도/JX
자동차	자동차/NNG
위주로	위주/NNG + 로/JKB
재편하겠다는	재편/NNG + 하/XSV + 겠/EP + 다는/ETM
방침을	방침/NNG + 을/JKO
밝히고	밝히/VV + 고/EC
있는	있/VX + 는/ETM
데	데/NNB
대해	대하/VV + 아/EC
회원들	회원/NNG + 들/XSN
사이에서	사이/NNG + 에서/JKB
저지	저지/NNG
방법을	방법/NNG + 을/JKO
놓고	놓/VV + 고/EC
의견이	의견/NNG + 이/JKS
백출하고	백출/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

"시위를	"/SS + 시위/NNG + 를/JKO
통해	통하/VV + 아/EC
압력을	압력/NNG + 을/JKO
가해야	가하/VV + 아야/EC
한다"는	하/VX + ㄴ다/EC + "/SS + 는/ETM
루츠	루츠/NNP
라이너	라이너/NNP
씨	씨/NNB
같은	같/VA + 은/ETM
강경입장이	강경/NNG + 입장/NNG + 이/JKS
있는가	있/VV + 는가/EC
하면,	하/VV + 면/EC + ,/SP
"석달에	"/SS + 석/MM + 달/NNG + 에/JKB
한	한/MM
번씩	번/NNB + 씩/XSN
열리는	열리/VV + 는/ETM
교통당국자와의	교통/NNG + 당국자/NNG + 와/JKB + 의/JKG
회의에서	회의/NNG + 에서/JKB
설득시키자"는	설득/NNG + 시키/XSV + 자/EC + "/SS + 는/ETM
프랑크	프랑크/NNP
그라츠	그라츠/NNP
씨의	씨/NNB + 의/JKG
온건론도	온건/NNG + 론/XSN + 도/JX
있다.	있/VV + 다/EF + ./SF

두	두/MM
시간	시간/NNG
가까운	가깝/VA + ㄴ/ETM
열띤	열띠/VA + ㄴ/ETM
토론이	토론/NNG + 이/JKS
벌어지는	벌어지/VV + 는/ETM
동안	동안/NNG
회의를	회의/NNG + 를/JKO
주재하는	주재/NNG + 하/XSV + 는/ETM
발터	발터/NNP
몰	몰/NNP
씨(39)는	씨/NNB + (/SS + 39/SN + )/SS + 는/JX
간부들이	간부/NNG + 들/XSN + 이/JKS
회원들로부터	회원/NNG + 들/XSN + 로부터/JKB
수렴한	수렴/NNG + 하/XSV + ㄴ/ETM
의견을	의견/NNG + 을/JKO
자세하게	자세/XR + 하/XSA + 게/EC
기록한다.	기록/NNG + 하/XSV + ㄴ다/EF + ./SF

정책	정책/NNG
문제를	문제/NNG + 를/JKO
담당하는	담당/NNG + 하/XSV + 는/ETM
그는	그/NP + 는/JX
"아이디어가	"/SS + 아이디어/NNG + 가/JKS
있어야	있/VV + 어야/EC
당국을	당국/NNG + 을/JKO
설득할	설득/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있고	있/VV + 고/EC
시민들이	시민/NNG + 들/XSN + 이/JKS
나서야	나서/VV + 어야/EC
정부도	정부/NNG + 도/JX
따라	따르/VV + 아/EC
오는	오/VX + 는/ETM
것	것/NNB
아니냐"고	아니/VCN + 냐/EC + "/SS + 고/JKQ
말한다.	말/NNG + 하/XSV + ㄴ다/EF + ./SF

참신한	참신/XR + 하/XSA + ㄴ/ETM
정책	정책/NNG
아이디어와	아이디어/NNG + 와/JKB
함께	함께/MAG
협회를	협회/NNG + 를/JKO
떠받치는	떠받치/VV + 는/ETM
것은	것/NNB + 은/JX
60마르크씩의	60/SN + 마르크/NNB + 씩/XSN + 의/JKG
연회비.	연회비/NNG + ./SF

협회에서는	협회/NNG + 에서/JKB + 는/JX
이	이/MM
돈으로	돈/NNG + 으로/JKB
